"id","body","status","idate","freq","wfu"
"01/08","urgent  action uanetwork office aiusa 600 pennsylvania ave se, washington dc 20003 t. 202.544.0200 f. 202.675.8566 e. uan@aiusa.org amnestyusa.org/urgent ","update","",2,TRUE
"01/09","urgent  action uanetwork office aiusa 600 pennsylvania ave se, washington dc 20003 t. 202.544.0200 f. 202.675.8566 e. uan@aiusa.org amnestyusa.org/urgent/ 08 september 2009 further information on ua 01/09 (06 january 2009)  fear of torture or other ill-treatment/unfair trial russian federation  murad akhmedovich gasaev (m), aged 34 murad gasaev was released on 28 august from a detention center in the southern russian town of piatigorsk. investigators had found no evidence that he had been involved in the june 2004 attack on government buildings in the russian republic of ingushetia. however, according to murat gasaevs lawyer, law enforcement officers have repeatedly threatened his brother that murad gasaev would come to harm if he were released. the charges against murad gasaev were dropped on 30 june. all the charges related to his alleged involvement in the june 2004 attack by around 200 members of armed groups on a ministry of the interior building in the capital of the republic of ingushetia, nazran. murad gasaevs alibi was corroborated by five witnesses, and the only witness who implicated him in the attack retracted his statement during his own trial, saying he had been tortured to make him implicate murad gasaev. the authorities kept murad gasaev in custody for almost two months; according to his lawyer, they did this in connection with an unrelated event in august 2003. murad gasaevs lawyer has expressed deep concern over his clients safety in russia, as law enforcement officers had threatened his brother since the beginning of this year that murad gasaev would come to harm if he were released, and also threatened his mother and other relatives. background information ethnic chechen murad gasaev, who is a russian citizen, was extradited from spain on 31 december 2008 after the spanish authorities received diplomatic assurances from the russian government that he would not be tortured or otherwise ill-treated. he was held at a detention facility in moscow, and moved to the pre-trial detention center in piatigorsk in january 2009. according to prosecution, murad gasaev was a member of an armed group named khalifat and took part in several terrorist attacks against representatives of the state and law enforcement officers in the north caucasus, including a june 2004 attack on a ministry of the interior building in the capital of the republic of ingushetia, nazran. murad gasaev claimed that in august 2004, when he was still in ingushetia, he was detained for three days by federal security service officers, who tortured and questioned him about the june 2004 attack. after three days of torture he was taken in a van and released in open country. he was not charged at the time, and he later left russia. recommended action: please send appeals to arrive as quickly as possible: n   urging the authorities to provide protection for murad gasaev and his family. appeals to: prosecutor general of the russian federation yurii ya. chaika ul.bolshaia dmitrovka, 15a moscow gsp-3 125993 russian federation","update","",3,TRUE
"071/08","urgent  action uanetwork office aiusa 600 pennsylvania ave se, washington dc 20003 t. 202.544.0200 f. 202.675.8566 e. uan@aiusa.org amnestyusa.org/urgent/ ","update","",2,TRUE
"08/00","amnesty international usa's medical a c t i o n ua office _ pobox 1270 nederland co 80466 _ ph 303 258 1170 _ fax 303 258 7881 _ e-mail sharriso@aiusa.org _ http://www.amnesty-usa.org/urgact/ ","","",2,TRUE
"1/00","amnesty international usa's m e d i c a l    a c t i o n ua office _ pobox 1270 nederland co 80466 _ ph 303 258 1170 _ fax 303 258 7881 _ e-mail sharriso@aiusa.org _ http://www.amnesty-usa.org/urgact/ ","","",5,TRUE
"1/01","amnesty international usa's m e d i c a l    a c t i o n ua office _ pobox 1270 nederland co 80466 _ ph 303 258 1170 _ fax 303 258 7881 _ e-mail sharriso@aiusa.org _ http://.amnesty-usa.org/urgact/ ","","",4,TRUE
"1/02","urgent  action uanetwork office pobox 1270 nederland co 80466 t. 303.258.1170 f. 303.258.7881 e-mail. uan@aiusa.org www.amnestyusa.org/urgent/","update","",6,TRUE
"1/03","urgent action uanetwork office pobox 1270 nederland co 80466 t. 303.258.1170 f. 303.258.7881 e-mail. uan@aiusa.org www.amnestyusa.org/urgent/ 3 october 2003 further information on extra 01/03 issued 8 january 2003 fear of imminent amputation iran reza nazaarit (m), aged 22 mohammaad safaavi (m), aged 22 mehdi boyeri (m), aged 23 - released hoseyn amiri (m), aged 23 - released mehdi boyeri and hoseyn amiri have reportedly been released on bail. amnesty international has no information on when they are due to appear in court. it is not known if they are still under sentence of cross-amputation or any other form of punishment. reza nazaarit and mohammaad safaavi are reportedly still at risk of imminent cross amputation. the four men were arrested in shiraz, southwestern iran, on 23 june 2002. reza nazaarit and mohammaad safaavi were reportedly held in solitary confinement for 45 days prior to their trial. on 9 august 2002, a revolutionary court in shiraz sentenced the four men to the amputation of the right hand and left foot on charges of armed uprising against the islamic regime and theft. reza nazaarit and mohammaad safaavi appealed against their sentence, but it was upheld by the supreme court on 8 march 2003. they are being detained in shiraz prison until their sentence is carried out, which could be at any time. the supreme leader of iran, ayatollah sayed 'ali khamenei, is the only authority able to commute their sentence at this stage. background information amnesty international has recorded six amputations since the beginning of 2003, although the true figure may be significantly higher. punishment by amputation is often imposed in connection with theft. amnesty international recognizes the rights and responsibilities of all governments to bring to justice those found guilty of a recognizably criminal offence. however, the organization fundamentally opposes the cruel, inhuman and degrading punishment of judicial amputation and considers it to be a form of torture. recommended action: please send appeals to arrive as quickly as possible: - expressing concern that reza nazaarit and mohammaad safaavi are at risk of imminent amputation of the right hand and left foot; - urging the authorities to commute the sentence of cross-amputation against reza nazaarit and mohammaad safaavi immediately; - seeking details of the exact charges and trial proceedings against mehdi boyeri and hoseyn, including details of any appeal against their conviction; - if they are still under the sentence of cross amputation, calling for the authorities to commute their sentence; - urging the judicial authorities to implement a moratorium on the use of amputations, which is a cruel, inhuman and degrading punishment prohibited under article 7 of the international covenant on civil and political rights (iccpr) to which iran is a state party, with a view to its eventual abolition. appeals to: leader of the islamic republic his excellency ayatollah sayed 'ali khamenei the presidency, palestine avenue azerbaijan intersection, tehran islamic republic of iran","update","2003-01-08",5,TRUE
"1/04","urgent action uanetwork office pobox 1270 nederland co 80466 t. 303.258.1170 f. 303.258.7881 e-mail. uan@aiusa.org www.amnestyusa.org/urgent/ 6 august 2004 further information on ua 01/04 issued 2 january 2004 and re-issued 29 july 2004 health concern / incommunicado detention / unfair trial / prisoner of conscience socialist republic of viet nam    dr nguyen dan que (m), aged 62 dr nguyen dan que has been sentenced to two-and-a-half years imprisonment following a grossly unfair trial, which took place at ho chi minh city peoples court on 29 july. amnesty international is appalled by this sentence, which was imposed despite a wave of international protest, and is urging the vietnamese authorities to immediately and unconditionally release dr que as a prisoner of conscience. dr que's trial, at which he did not have legal representation, lasted only three hours. when he made a statement to the court denying he had committed any crime, and stating that the trial was not in accordance with international standards for fair trial, he was removed from the courtroom to listen to the proceedings in a separate room. he was sentenced on charges of abusing democratic rights to jeopardize the interests of the state, and the legitimate rights and interests of social organizations and citizens under article 258 of the viet nam penal code. taking into account the time that dr que has already spent in prison, he will not be released until september 2005. dr que's health has reportedly worsened significantly while he has been in custody. he requires medication for high blood pressure, and suffers from a bleeding peptic ulcer and kidney stones. background information dr nguyen dan que, a distinguished doctor, former hospital director and long-standing human rights activist, was arrested outside his home on his way to an internet cafe on 17 march 2003. it is believed that his arrest was prompted by a statement he issued on 13 march asserting that there was no freedom of information in viet nam, which was circulated via the internet and published outside the country. he has been imprisoned twice before, for a total of 18 years, for advocating political reform and respect for human rights, and criticizing government policies. he was detained without charge or trial from 1978 to 1988, and was re-arrested in june 1990 after he founded the cao tra nhan ban (high tide of humanism movement) which called for democratic change. he also became a member of amnesty international, a fact mentioned in the charges against him. at that time he was sentenced to 20 years imprisonment, but was released under a special amnesty in september 1998. recommended action: as part of amnesty international's continuing campaign for the release of dr nguyen dan que, please send a final round of appeals: - calling for dr nguyen dan que to be released immediately and unconditionally as a prisoner of conscience, imprisoned solely for the peaceful exercise of his fundamental rights. - expressing concern that dr que was sentenced to two and half years imprisonment after a trial not meeting international standards of fairness; - seeking assurances that dr que is receiving the medical treatment he needs. appeals to: prime minister phan van khai office of the prime minister hoang hoa tham, ha noi socialist republic of viet nam","update","2004-01-02",5,TRUE
"1/05","urgent  action uanetwork office pobox 1270 nederland co 80466 t. 303.258.1170 f. 303.258.7881 e-mail. uan@aiusa.org www.amnestyusa.org/urgent/","update","",4,TRUE
"1/06"," amnesty international usa's refugee action 600 pennsylvania avenue, se, suite 300, washington, dc 20003 t. 202.544.0200, f. 202.546.7142","","",5,TRUE
"1/12","ua: 1/13 issue date: 4 january 2013","","2013-01-04",3,TRUE
